,sentence,tag
464,"However, you told me not to reveal any information.",0
465,"Sir, I am not asking for sensitive information. We need this information for verification purposes.",1
466,"It's OK,'s fine.",2
467,Thank you. Can you tell me your credit limit?,2
468,"My credit score is 95,000.",1
469,Thank you for revealing your credit limit. Can you help me with your postal code?,2
470,My postal code is 367523.,1
471,"Thank you for sharing the information.Your order has been captured and your transaction of 42,000 will be converted into EMI within three working days, as well as a downloadable copy with EMI breakup information.",2
472,Yes.,2
473,"If you want to pre close your EMI, then on individual transaction minimum 350 or 5% will be levied on remaining amount plus tax, according to Hope I.",1
474,Yes.,2
475,"You have unlocked a special credit card upgrade, Offer on your card. We're going to increase your credit limit from 95,000 to 1,80,000 after your approval.",2
476,"Yes, I want to Upgrade.",2
477,"Congratulations, your credit limit has been raised. You can now spend up to 1,80,000 on your credit card.",2
478,I am not happy with the current chat. I want to talk to your agent.,0
479,Please wait while we are transferring this call to our agent.,1
480,Welcome to celebal Tech IVR automation demo.,1
481,"Hi, how are you?",2
482,"Hello, I'm fine. Thank you for calling CT insurance. My name is Prashanth. How can I help you today?",2
483,"I want to know,About my,Insurance policy.",1
484,"Of course I can do that,Could you please confirm a few details before I give you the necessary information,Could you please tell me your registered mobile number?",1
485,"Yes, sure. My mobile number is 9956565232.",2
486,I can confirm that you have active health insurance policy with us. Can you confirm your name and date of birth for authentication?,2
487,Sure. My name is Manoj and my date of birth is 6th June 1970.,2
488,"Thanks for confirmation. I can see that your policy is due for the renewal on 28th March 2022, which is in one week from now,You can renew either for one year or two years. The one year option is 17,000 and two year option is 26,000.",2
489,I want to opt for one year option.,2
490,Would you like me to generate a payment link of renewal for this option?,1
491,Yes.,2
492,"Sure, I will share the link with you shortly.",2
493,I have a doubt who all will this policy cover?,0
494,"Set your current policy covers you, your spouse, and your parent.",1
495,"OK, please send me the payment reminder.",1
496,Of course you will receive a payment link on your registered mobile number.,1
497,"Hi,I am Prashanth calling you from Celebal Tech Bank,We have an EMI offers specially created for you,Would you like to know more about the offer?",2
498,"No, I am not interested.",0
499,"I respect that, Sir,But by opting for an EMI, my you're not blocking huge cash, which makes your personal budgeting for the month easier,You can also get to know precisely how much money you need to pay towards the EMI each month,Would you like to know about the offer?",2
500,I'm busy right now. Can you call me tomorrow?,0
501,"Sure, Sir,Will get back to you tomorrow. Have a great day ahead. Thank you.",1
502,"Hi I am Prashant calling you from celebal tech bank,We have an EMI offer specially created for you,Would you like to know more about the offer?",2
503,"No, I am not interested.",0
504,"I respect that, Sir,But by opting for an EMI,You are not blocking huge cash which makes your personal budgeting for the month easier,You can also get to know precisely how much money you need to pay towards the EMI each month,Would you like to know about the offer?",2
505,"Yes, go on.",2
506,"This call is being recorded by celebal tech Bank,For security reasons, please do not share your CVV and OTP with anyone,As I can see a transaction of 27,000 done on myntra,Would you like to convert this into EMI?",1
507,"No, not this one.",0
508,"OK, I can also see a transaction of 32,000 done on Amazon. Would you like to convert this into EMI?",1
509,"No, I want the transaction done on Snapdeal.",0
510,"That's great,You have done a transaction of 26,500 on Snapdeal. Would you like to convert this into EMI?",2
511,"Yes, convert this one.",2
512,"That's a great choice, Sir,You can choose from the tenure period of three, seven, and eleven months,What tenure period would you be interested in?",2
513,I didn't get you. Can you repeat?,0
514,"That's a great choice, Sir. You can choose from the tenure period of three, seven and eleven months. What tenure period would you be interested in?",2
515,What is tenure period?,1
516,"Sir, that tenure period is the number of month in which you pay your EMI for the transaction amount,So can you please tell me the tenure period?",1
517, Tell me the monthly payment for seven month EMI option.,1
518,"Sure, according to the tenure period of seven months, the monthly amount payable will be 4143,It will consist of 13% plus tax on the interest amount. Should I proceed?",1
519,What will be the monthly payment for 10 month EMI option?,1
520,"Sure, according to the tenure period of 10 months, the monthly amount payable will be 2818. It will consist of 13% plus tax on the interest amount. Should I proceed?",1
521,Then I want seven month option.,2
522,"Sure. Let me brief you according to the tenure period of seven months, your first EMI installment will be 4143,With the interest rate of 13% and there is also a one time processing fee applicable which will be of 350 excluding service tax,This processing fee plus your first EMI will be included in your upcoming bill. Should I proceed?",1
523,"Yes, proceed.",2
524,"Mr Manoj, you were total transaction amount is 26,500 and the EMI will be 4143 for seven months of EMI,That, EMI,  consist of principal amount plus tax on the interest which will keep on reducing every month. I hope all the details are clear. Should I proceed?",1
525,Hold on for a second.,1
526,"Sure, I will hold. Please let me know when to continue.",1
527,"Yes, continue.",2
528,"Sure. I was saying, Mr Manoj, you are total transaction amount is 26,500 and the EMI will be 4143 for seven months of EMI,The EMI consist of principal amount plus tax on the interest which will keep on reducing every month. I hope all the details are clear. Should I proceed?",1
529,Ohk OK proceed.,2
530,"Thank you, Sir,That EMI amount will be temporary, kept on hold in your credit card limit,And when you pay your EMI, the limit will be released. Hope you are clear with this information. Please confirm few details like credit limit and date of birth.",2
531,But you told me not to share any details.,0
532,"Sir, I'm not asking for sensitive information. We need these details for verification purpose,Should I proceed?",1
533,"Yes, go on.",2
534,"Thank you,Can you tell me your credit limit?",2
535,"My credit limit is 95,000.",1
536,Thanks for confirming your credit limit. Can you please help me with your postal code?,2
537,My postal code is 42568.,1
538,Thanks for confirming your postal code. Can you please help me with your date of birth?,2
539,20 May 1960.,1
540,"We are all done,Then you will receive an email update shortly. Have a wonderful day ahead. Keep banking with celebal tech bank.",2
541,"Welcome to celebal technologies IVR Automation demo,I can help with bank related queries.",2
542,I want to update my online transaction limit for my credit card.,2
543,"Good,I can help with updating your transaction limit on your credit card,I can see your current limit is set to 30,000 for online transactions,To what amount you would like to set the new limit to.",2
544,"I want to,Update my new limit to  60,000.",1
545,"Please confirm that you want to update the limit for online transaction to 60,000.",1
546,Yes.,2
547,"Congratulations,I have updated your limit. You can now spend up to 60,000  for online transactions,Is there anything else I can help you with?",2
548,I want to upgrade the credit limit.,2
549,"Sure,I can help with updating your transaction limit on your credit card. I can see your current limit is set to 60,000 for online transactions,To what amount you would like to set the new limit too.",2
550,"I want to,Update it to 65,000.",1
551,"Please confirm that you want to update the limit for online transaction to 65,000.",1
552,"No, I changed my mind.",0
553,"I have cancelled your update limit request,Is there anything else I can help you with?",0
554,"Yes, I want to talk to an,Agent.",1
555,Please wait while we are transferring this call to our agent.,1
556,"Hi,I am Prashanth calling you from celebal Tech Bank,We have an EMI offer specially created for you. Would you like to know more about the offer?",2
557,"Yes, sure.",2
558,"This call is being recorded by celebal tech Bank for security reasons. Please do not share your CVV and OTP with anyone,As I can see a transaction of,39,000 done on Flipkart. Would you like to convert this into EMI?",1
559,"Yes, convert this one.",2
560,"That's a great choice, Sir,Could you please confirm at what tenure would be,Interested in?",1
561,Tell me the monthly payment for the tenure of six months.,1
562,"Sure,According to the tenure period of six months, the monthly amount payable will be 4714. It will consist of 12% plus tax on the interest amount,Should I proceed?",1
563,"No,I have changed my mind. I'm happy to pay full payment.",0
564,"That's great, Sir, but the EMI offer will reduce your one time payment burden, so please allow me to suggest you a great offer.",2
565,"No,I don't want to go for EMI option.",0
566,"Sir, by opting for EMI you won't block a big amount and it won't affect your monthly budget,Should I proceed?",1
567,"No,I am happy to pay full payment.",0
568,"That's great, Sir. Thank you for your valuable time. Keep banking with celebal tech bank. Thank you.",2
569,Thank you.,2
570,"Thank you for using celebal tech bank credit card, Mr Manoj,We are pleased to offer a special EMI facility on your card,So that you can convert your purchases above 2500 into easy monthly installments and enjoy paying back and easy in settlements.",2
571,"OK, go ahead.",2
572,Please allow me to share the details of this EMI offer.,1
573,"Sure. Please go,ahead.",2
574,"Thank you so much, Sir,I can see that you have recently done the transaction of 20,000 from chroma on May 31st, 2021 through your credit card,You can instantly get this amount converted into EMI,Adding an interest rate starting from 14% per annum,Would you like to convert this into EMI?",2
575,"Yes, please go ahead.",2
576,"We have customized EMI options available for you,Which will be of 2550 monthly for the tenure of nine months,The EMI monthly,Amount will consist of 16% plus tax on interest amount,Should I proceed to big book this EMI?",1
577,"No, you're,An interest rate is too high.",0
578,"No problem. We can provide a special interest rate for you,According to new offer,The interest rate will be 14% and your monthly EMI amount will be,15186 for the tenure of 16 months,Would you like to,Convert this EMI option.",2
579,No. This tenure period is too long.,0
580,"That's no issue. We can change the tenure according to your needs. Please let me know what tenure period you are looking for,The transaction amount of 20,000.",1
581,I want ten your period for 12 months only.,1
582,"Sure. We have just the best offer for 10 months tenure period,The interest rate,Applicable will be 14% and the monthly EMI will be,2276, where the tenure period of 10 months, should I proceed booking the EMI option?",2
583,"Yes, please go on.",2
584,"That's great,I believe we can share the charges and calculation of the monthly EMI,Let me once again confirm that,You would like to convert your transaction of 20,000 for 10 tenure of 10 months. The interest rate is 14% per annum and will be charged on monthly balance plus tax applicable on interest amount,There is also a one time processing fee applicable which will be 450 including service tax. This processing fee plus your first EMI will be included in your upcoming bill,Your first EMI will be,2276,Before proceeding with EMI booking option, please confirm your PIN code of your address.",1
585,6236980,1
586,Thanks for confirming your PIN code. Please let me know what's your current credit limit is.,2
587,My credit limit is 60000?,1
588,"Thanks for confirming the details. Your request has been captured,And your transaction will get converted into EMI within two working days,Sir, you will get confirmation SMS to your registered mobile number and you will get,The soft copy to your registered email address which will have the EMI breakup details,Also, let me inform you if you have availed any reward point on this particular transaction, it will be lapsed,If you want to pre close your EMI then an individual transaction,Of minimum 300 or,3% on remaining principle outstanding amount, whichever is higher,Is applicable and tax will be applicable on preclosure charges.",2
589,That's no issue.,2
590,"You have unlocked a special credit card upgrade limit offer on your card,We will be happy to increase your credit limit from 60,000 to 90,000 after your confirmation.",2
591,"Yes, I want the credit limit,Upgraded.",2
592,"Congratulations, your credit limit is upgraded. You can now spend,Up to 90,000 on your credit card. Thank you for your valuable time. Keep banking with celebal tech bank.",2
593,Thank you.,2
0,I have a question. Will this insurance track my family equally intimately?,0
1,One take a doubt. Will this insurance policy cover my family every bit advantageously?,0
2,One have a doubt. Testament this insurance policy encompass my family as intimately?,0
3,"No, non this unity.",0
4,"No, non this i.",0
5,"No, non this 1.",0
6,I didn ' t get you. Rear you repeat?,0
7,1 didn ' t get you. Can you iterate?,0
8,I didn ' t get you. Bottom you repeat?,0
9,Hold on for a 2d.,0
10,Hold on for a 2nd.,0
11,Confine on for a second.,0
12,"What bequeath happen, If One preclose this EMI.",0
13,"What volition bump, If I preclose this EMI.",0
14,"What will happen, If One preclose this EMI.",0
15,Bathroom you recapitulate again?,0
16,Posterior you repeat again?,0
17,Can you repeat once more?,0
18,But you evidence maine not to portion any details.,0
19,But you told me non to share any point.,0
20,Simply you told me not to share any point.,0
21,Iodin need a loan instead.,0
22,One desire a loan instead.,0
23,Ane want a loan alternatively.,0
24,This call is being recorded by celebal Bank for security reasons. Please coif not parcel your CVV and OTP with anyone.,0
25,This phone call be being recorded by celebal Savings bank for security measure reasons. Please do not share your CVV and OTP with anyone.,0
26,This call is being recorded by celebal Camber for security reasons. Delight do not portion your CVV and OTP with anyone.,0
27,I am ready to devote full requital.,0
28,Atomic number 53 am quick to give full payment.,0
29,One am ready to pay broad payment.,0
30,"No, Atomic number 53 don ' t require to pass for EMI pick.",0
31,"No, I don ' deoxythymidine monophosphate need to go for EMI option.",0
32,"No, I don ' thymine desire to go for EMI choice.",0
33,No.,0
34,No.,0
35,No.,0
36,"No, I want to talk to your, Broker.",0
37,"No, I need to speak to your, Agent.",0
38,"No, Ace require to verbalize to your, Agent.",0
39,"No, I don ' triiodothyronine require to opt for EMI.",0
40,"No, I don ' t require to opt for EMI.",0
41,"No, I assume ' t require to choose for EMI.",0
42,Can you reiterate the detail over again?,0
43,Derriere you recapitulate the contingent again?,0
44,Behind you echo the details again?,0
45,But you distinguish me non to share any detail.,0
46,But you told me non to portion any details.,0
47,Only you told maine not to share any detail.,0
48,"Atomic number 53 am not happy with current conversation. Unity want to blab to your, Agent.",0
49,"I personify not felicitous with current conversation. 1 desire to talk to your, Agent.",0
50,"I am non happy with current conversation. I want to speak to your, Agent.",0
51,"No, I assume ' t need to cash in one's chips for the EMI road.",0
52,"No, Atomic number 53 don ' thyroxin want to go for the EMI path.",0
53,"No, I assume ' t require to work for the EMI route.",0
54,"No, I am contented with the complete defrayal method acting.",0
55,"No, Iodine make up content with the complete defrayment method.",0
56,"No, I comprise content with the perfect defrayal method acting.",0
57,"Hello, I am Prashanth from Celebal Tech Depository financial institution. What do you alike to listen about the offer?",0
58,"Howdy, I am Prashanth from Celebal Technical school Bank. What do you comparable to hear about the offer?",0
59,"Hello, I am Prashanth from Celebal Tech Bank. What do you similar to hear astir the offer?",0
60,Yes.,0
61,Yes.,0
62,Yes.,0
63,"This call is being recorded by a Celebal tech bank, but please perform non reveal your CVV and OTP with anyone, as shown here.",0
64,"This call is being immortalize by a Celebal tech bank, but delight do not reveal your CVV and OTP with anyone, as indicate here.",0
65,"This call option is being record by a Celebal tech camber, but please do not reveal your CVV and OTP with anyone, as shown here.",0
66,"Kinda than a mortgage, Atomic number 53 want a loan.",0
67,"Rather than a mortgage, Iodin need a loan.",0
68,"Rather than a mortgage, 1 want a loanword.",0
69,What kind of loanword do you need?,0
70,What kind of loan get along you demand?,0
71,What kind of loan do you require?,0
72,Give the axe you repeat?,0
73,Put up you repeat?,0
74,Give notice you repeat?,0
75,"Yes, Sir, what variety of loan you need?",0
76,"Yes, Sir, what kind of loan you ask?",0
77,"Yes, Sir, what sort of loan you require?",0
78,Railcar loan is useable.,0
79,Car loanword is usable.,0
80,Car loanword is uncommitted.,0
81,How much money you ' ll ask for this loanword?,0
82,How much money you ' ll require for this loan?,0
83,How much money you ' ll need for this loanword?,0
84,Ane didn ' t get you. Can you recur?,0
85,One didn ' t get you. Can you duplicate?,0
86,I didn ' t get you. Can you retell?,0
87,"Yes, Sir, how much money you ' ll demand for this loan?",0
88,"Yes, Sir, how much money you ' ll require for this loanword?",0
89,"Yes, Sir, how much money you ' ll need for this loan?",0
90,I need astir seven Lac.,0
91,One need astir seven Lac.,0
92,Iodine need about seven Lac.,0
93,Could you delight tell me your read nomadic number?,0
94,Could you please order maine your registered mobile phone number?,0
95,Could you please tell me your register mobile figure?,0
96,"Yeah, certain, my wandering number is 9586236435.",0
97,"Yea, certain, my mobile identification number is 9586236435.",0
98,"Yea, sure, my fluid turn is 9586236435.",0
99,"Get entered your details, Our client representative will reach forbidden to you in short, thus keep banking with a celebrity tech bank.",0
100,"Have recruit your details, Our client illustration will hand out to you shortly, so keep banking with a celebrity technical school bank.",0
101,"Have entered your details, Our customer representative volition make out to you shortly, so keep banking with a celebrity tech bank.",0
102,Thank you.,0
103,Thank you.,0
104,Thank you.,0
105,Atomic number 53 get a doubt who will represent underwrite by this policy.,0
106,Single consume a doubtfulness who will follow covered by this policy.,0
107,Ace have a dubiety who testament be covered by this insurance.,0
108,"No, I assume ' metric ton need to go for EMI option.",0
109,"No, I don ' t desire to go for EMI choice.",0
110,"No, I don ' deoxythymidine monophosphate desire to go for EMI choice.",0
111,"No, I live happy with broad payment alternative.",0
112,"No, I am felicitous with wide payment choice.",0
113,"No, I am glad with full defrayment option.",0
114,"No, I be non concerned.",0
115,"No, I be non concerned.",0
116,"No, 1 personify non interested.",0
117,"No, I comprise non concerned.",0
118,"No, One am non concerned.",0
119,"No, Ane be non interested.",0
120,"No, non this single.",0
121,"No, non this 1.",0
122,"No, non this ace.",0
123,"No, I alter my creative thinker.",0
124,"No, I deepen my psyche.",0
125,"No, Atomic number 53 change my head.",0
126,"No, Iodine get into ' t need to go for the EMI route.",0
127,"No, I wear ' thymine need to go for the EMI path.",0
128,"No, I assume ' thyroxine want to operate for the EMI route.",0
129,"No, the interest charge per unit in Affects is to a fault in high spirits.",0
130,"No, the interest group rate in Affects be likewise high.",0
131,"No, the interest charge per unit in Affect is likewise in high spirits.",0
132,No. This service cycle per second make up too long.,0
133,No. This robert william service cycle personify overly long.,0
134,No. This help round is too long.,0
135,"No, non this i.",0
136,"No, non this ace.",0
137,"No, non this unity.",0
138,Atomic number 53 didn ' t get you. Can you double?,0
139,One didn ' t get you. Lavatory you recapitulate?,0
140,Iodin didn ' t get you. Force out you repeat?,0
141,Give notice you ingeminate?,0
142,Hind end you recapitulate?,0
143,Can you retell?,0
144,"Withal, you told pine tree state non to reveal any information.",0
145,"However, you secern me not to expose any information.",0
146,"Even so, you tell maine not to reveal any selective information.",0
147,"Rather than a mortgage, I require a loanword.",0
148,"Instead than a mortgage, I want a loanword.",0
149,"Rather than a mortgage, One want a loanword.",0
150,"No, Iodine desire to talk to your agent.",0
151,"No, Iodin want to talk to your agent.",0
152,"No, 1 want to mouth to your agent.",0
153,I didn ' t get you. Can you echo?,0
154,I didn ' t get you. Can you echo?,0
155,I didn ' t get you. Commode you repeat?,0
156,"No, I wear ' t want to exit for EMI.",0
157,"No, 1 don ' tetraiodothyronine need to go for EMI.",0
158,"No, One get into ' t desire to go for EMI.",0
159,Stern you ingeminate the information again?,0
160,Stern you repeat the info again?,0
161,Can you retell the selective information once more?,0
162,"However, you severalize me non to unveil any information.",0
163,"Even so, you told pine tree state not to unveil any selective information.",0
164,"However, you told pine tree state non to uncover any information.",0
165,Single am not happy with the current schmooze. One want to spill to your agent.,0
166,1 be not happy with the current chat. I want to talk to your federal agent.,0
167,I am not well chosen with the current confab. I want to verbalize to your broker.,0
168,I have a dubiety world health organization all leave this insurance policy cover?,0
169,I have a doubtfulness world health organization all volition this policy covering fire?,0
170,I have a question who all bequeath this insurance policy binding?,0
171,"No, Ane comprise not concerned.",0
172,"No, Single be not concerned.",0
173,"No, Ane be not concerned.",0
174,Single ' m busy right nowadays. Can you ring me tomorrow?,0
175,1 ' chiliad busy right now. Can you shout me tomorrow?,0
176,I ' m busy right on now. Nates you call up me tomorrow?,0
177,"No, 1 live non interested.",0
178,"No, Iodine exist not concerned.",0
179,"No, Atomic number 53 personify non interested.",0
180,"No, non this i.",0
181,"No, non this single.",0
182,"No, non this 1.",0
183,"No, One require the transaction done on Snapdeal.",0
184,"No, I desire the dealing done on Snapdeal.",0
185,"No, Unity want the transaction fare on Snapdeal.",0
186,Ace didn ' t get you. Can you iterate?,0
187,Iodine didn ' t get you. Hind end you recapitulate?,0
188,Iodine didn ' t get you. Can you repeat?,0
189,But you tell me non to percentage any details.,0
190,But you told pine tree state non to share any inside information.,0
191,But you told maine not to share any contingent.,0
192,"No, Ane change my mind.",0
193,"No, Iodin changed my idea.",0
194,"No, I interchange my nous.",0
195,"Ane have cancelled your update limit request, Is there anything else 1 can facilitate you with?",0
196,"Ace have cancelled your update limit request, Is on that point anything else I fanny aid you with?",0
197,"I have cancelled your update limit request, Be in that location anything else I can help you with?",0
198,"No, Ace deliver changed my brain. I ' m happy to pay broad defrayment.",0
199,"No, I have got changed my mind. 1 ' m happy to pay total defrayment.",0
200,"No, I ingest changed my mind. I ' m happy to make up full defrayment.",0
201,"No, I don ' t want to locomote for EMI alternative.",0
202,"No, Iodine assume ' t want to lead for EMI option.",0
203,"No, I don ' triiodothyronine want to belong for EMI option.",0
204,"No, 1 am happy to compensate total payment.",0
205,"No, Iodin am felicitous to pay full defrayment.",0
206,"No, I am happy to compensate full requital.",0
207,"No, you ' atomic number 75, An interest pace comprise too mellow.",0
208,"No, you ' atomic number 75, An stake charge per unit is too high.",0
209,"No, you ' re, An stake pace is also high.",0
210,No. This term of office period be too long.,0
211,No. This land tenure period represent as well long.,0
212,No. This term of office period is likewise long.,0
